Nom de la gare;Total Voyageurs 2022
Nogent-l'Artaud - Charly;450012
Notre-Dame de Briançon;9145
Nouvion-sur-Meuse;73643
Nurieux-Volognat;12645
Olette - Canaveilles;2807
Origny-en-Thiérache;7732
Ormoy-Villers;36319
Ors;288
Ozoir-la-Ferrière;1757433
Pagny-sur-Meuse;6897
Paimpol;79438
Pamiers;358918
Parempuyre;57109
Paris Gare du Nord;211698470
Paris Montparnasse;56862435
Parthenay;3896
Pas des Lanciers;115423
Peltre;26353
Péreire - Levallois;3719484
Pérenchies;74415
Phalempin;238185
Plénée-Jugon;13750
Pleyber-Christ;6326
Plounérin;1168
Plouvara - Plerneuf;645
Poissy;11163637
Poitiers;3463640
Poliénas;37566
Poligny;117389
Pons;41789
Pont de l'Alma;3411547
Pont-d'Ain;31244
Pont-de-Buis;35454
Pont-du-Château;65781
Ponthierry - Pringy;408987
Pont-Melvez;6315
Pontrieux Halte;9334
Port Boulet;161897
Port-Brillet;40510
Porte de Clichy;3107862
Port-la-Nouvelle;124777
Port-Vendres;43409
Provins;564456
Puteaux;3900194
Quesnoy-sur-Deûle;35
Questembert;273077
Quiberon;121766
Quincieux;91158
Raedersheim;52212
Rassuen;6380
Reichshoffen;223685
Reims;4309354
Rémilly;252235
Remiremont;319312
Remoulins;762
Remy;7711
Renescure;16953
Rennes;13921836
Retiers;65312
Revin;199519
Ria-Sirach;1145
Richwiller;0
Rieux - Angicourt;140715
Riom - Châtel-Guyon;1058564
Roche-lez-Beaupré;6860
Roeschwoog;72205
Romanèche-Thorins;47885
Romorantin Blanc Argent;208914
Roscoff;11236
Rouffach;238593
Rouillé;16496
Royan;277670
Ruminghem;30844
Sablé-sur-Sarthe;569915
Sain-Bel;205445
Saint-Agnan;950
Saint-Aignan - Noyers;85328
Saint-Aigulin - La Roche-Chalais;26956
Saint-Amand-Longpré;5454
Saint-André-lez-Lille;21166
Saint-Christophe-Vallon;5352
Saint-Clair - Les Roches;623525
Saint-Cyprien Arènes;262837
Saint-Dizier;192797
Sainte-Colombe Septveilles;114903
Sainte-Pazanne;196087
Saint-Erme-Outre-et-Ramecourt;77921
Saintes;715225
Saint-Féliu-d'Avall;1989
Saint-Georges-de-Commiers;2985
Saint-Gilles-Croix-de-Vie;138563
Saint-Hilaire-au-Temple;0
Saint-Jacques-de-la-Lande;4551
Saint-Jean-de-Luz - Ciboure;478467
Saint-Joseph le Castellas;11134
Saint-Julien-du-Sault;36797
Saint-Laurent - Gainneville;20887
Saint-Léon-sur-l'Isle;19074
Saint-Leu-d'Esserent;138908
Saint-Leu-la-Forêt;2272089
Saint-Lô;265583
Saint-Lothain;4028
Saint-Louis les Aygalades;0
Saint-Macaire;17836
Saint-Malo;1638571
Saint-Marcel en Dombes;70447
Saint-Martin d'Étampes;493755
Saint-Martin-d'Oney;71106
Saint-Médard-de-Guizières;62050
Saint-Nom-la-Bretèche Forêt de Marly;1308720
Saint-Ouen;3120774
Saint-Pierre-sur-Dives;64822
Saint-Priest;204808
Saint-Quentin-Fallavier;253480
Saint-Remy-en-l'Eau;123
Saint-Romain-le-Puy;53612
Saint-Sébastien Frêne Rond;33554
Saint-Seurin-sur-l'Isle;133870
Saint-Sulpice - Auteuil;126642
Saint-Vallier sur Rhône;309631
Saint-Vincent le Château;14358
Salles-Courbatiès;4282
Sarlat-la-Canéda;65784
Sarreinsming;23
Saulxures;1267
Savenay;677561
Savennières - Béhuard;33336
Saverne;1312771
Savigny-sur-Orge;6788452
Scherwiller;9614
Schweighouse-sur-Moder;30509
Seclin;317594
Sénas;40150
Septèmes-les-Vallons;28311
Sermizelles - Vézelay;15849
Servas - Lent;65465
Sévérac;15627
Sevran Beaudottes;7249470
Sierentz;222398
Sillé-le-Guillaume;91402
Sillery;0
Soultz-sous-Forêts;217646
Stains La Cerisaie T11;2022741
Surdon;118394
Tain-l'Hermitage - Tournon;522359
Tantonville;200
Tarascon-sur-Ariège;75613
Tassin;278685
Tenay - Hauteville;39904
Teting-sur-Nied;2514
Thann Saint-Jacques;165101
Thiaville-sur-Meurthe;665
Thiers;55036
Thieux - Nantouillet;33900
Tonneins;210124
Toul;323201
Tournay;28895
Tourville-la-Rivière;3339
Traou Nez;111
Trentels Ladignac;0
Tricot;54523
Trie-Château;35594
Trith-Saint-Léger;13022
Tronsanges;3865
Ussel;73875
Ustaritz Jatxou;5742
Vaires - Torcy;1888489
Valdahon Camp Militaire;9246
Valence TGV Rhône-Alpes Sud;3022392
Valleiry;58030
Vallon-en-Sully;26733
Valognes;251892
Vanves - Malakoff;1111472
Varades - Saint-Florent le Vieil;105287
Vaucelles;597564
Vaudagne;159
Vaulry;0
Vaux-et-Chantegrue;569
Vaux-sur-Seine;419617
Vayres;64779
Vénissieux;173756
Vernaison;94268
Verneuil-l'Étang;551528
Vernou-la-Celle-sur-Seine;44792
Versailles Château Rive Gauche;5795124
Versailles Rive Droite;5530365
Viarmes;272109
Vichy;1358031
Vidauban;17492
Vieux-Thann Zone Industrielle;24439
Vignols - Saint-Solve;111
Villedieu-les-Poêles;94601
Villefranche - Vernet-les-Bains;266812
Villefranche-sur-Mer;503934
Villeneuve-la-Comtesse;867
Villenouvelle;26687
Villers-Cotterêts;397951
Villers-Saint-Sépulcre;8112
Villetaneuse Université T11;3902317
Villiers - Neauphle - Pontchartrain;754106
Villiers-sur-Marne - Le Plessis-Trévise;7700718
Vions - Chanaz;17568
Vireux-Molhain;64839
Virieu-le-Grand - Belley;59947
Virville - Manneville;0
Vis à Marles;17063
Vitry-le-François;193983
Vitry-sur-Seine;3770683
Voutré;2437
Vulaines-sur-Seine - Samoreau;43479
Woippy;154292
Xertigny;3304
Ychoux;182592
Yerres;3738278
Zornhoff Monswiller;0
Agay;32800
Agde;689202
Albens;126604
Albi Madeleine;80495
Ambérieu-en-Bugey;1334530
Ambronay - Priay;8271
Anchamps;7550
Annappes;1458
Anse;468208
Anthéor Cap Roux;11494
Apach;1512
Appilly;8655
Arenc Euroméditerranée;68184
Argelès-sur-Mer;164672
Argentan;389139
Asnières-sur-Seine;17579037
Assat;475
Aubagne;1046412
Auchy-lès-Hesdin;15943
Audrieu;20670
Auffay;228254
Aulnoye-Aymeries;647078
Aumont-Aubrac;8490
Auneau;26607
Avallon;54702
Bailleau-le-Pin;128173
Bailly T13;0
Baisieux;51083
Banassac - La Canourgue;8102
Banyuls-sur-Mer;95022
Barjac;54
Barr;341948
Basse-Ham;562
Baume-les-Dames;224769
Bauvin - Provin;109399
Beaugency;451356
Beauvais;1636319
Bécon les Bruyères;10762906
Bedous;16568
Bègles;38020
Belleville sur Sâone;1029985
Bellignat;4219
Belloy - Saint-Martin;176362
Belvès;2759
Bergerac;356938
Berlaimont;7363
Berre;0
Bertrichamps;3487
Bertry;3350
Besançon Viotte;2616257
Bessancourt;796219
Bessay-sur-Allier;18404
Béthune;1601485
Bigny;123
Bitche;30852
Bitschwiller-lès-Thann;34337
Blaisy-Bas;48459
Blangy-sur-Bresle;34907
Boën-sur-Lignon;27226
Bogny-sur-Meuse;79860
Boisleux-au-Mont;2055
Bonneval;66356
Bonneville;307165
Bonnières-sur-Seine;771930
Bonson;58831
Bords;14598
Bouaye;56168
Boulogne-sur-Mer;952689
Bourg-Madame;5356
Bourgneuf-en-Retz;22569
Boussy-Saint-Antoine;2880374
Bouy;0
Brazey-en-Plaine;45283
Breitenbach;28767
Breteuil;43095
Bretoncelles;26432
Briare;61949
Brion - Laizy;8257
Brion - Montréal-la-Cluse;46414
Brioude;110941
Briouze;54629
Brive-la-Gaillarde;1030162
Broons;59562
Brou;115264
Brumath;598702
Brunstatt;0
Bueil;109663
Busigny;66529
Caen;3753065
Callac;40638
Carcassonne;1047813
Carhaix-Plouguer;59351
Castelnaudary;347787
Ceilhes - Roqueredonde;1256
Cercottes;70521
Cérons;382657
Châbons;78294
Chagny;419221
Chaingy Fourneaux Plage;21115
Chalonnes-sur-Loire;160446
Chalon-sur-Saône;1598581
Chamalières-sur-Loire;3125
Champagney;69916
Champagnole Paul-Émile Victor;2499
Champigneulles;24859
Chanac;196
Changis - Saint-Jean;250409
Chantilly - Gouvieux;2600290
Chaponost;99688
Charbonnières-les-Bains;252635
Chasseradès;1798
Chasse-sur-Rhône;237250
Châteauneuf - Bujaleuf;3841
Châtillon d'Azergues;20177
Chépy - Valines;207
Chevrières;28028
Chindrieux;46107
Chissay-en-Touraine;9811
Choisy-le-Roi;10936239
Cintegabelle;92394
Cires-lès-Mello;112440
Civrieux-d'Azergues;4821
Cize - Bolozon;1145
Clelles - Mens;19784
Clerval;60473
Cognac;158552
Colmar;4103990
Colombier-Fontaine;15399
Colomiers Lycée International;158547
Commercy;212829
Condat - Le Lardin;28892
Conlie;53288
Corbigny;8237
Corcy;3
Corgoloin;13671
Cornil;7553
Corps-Nuds;15503
Corrèze;4566
Cosne-sur-Loire;209767
Coucy-lès-Eppes;10099
Couëron;57885
Couffoulens - Leuc;826
Couilly - Saint-Germain - Quincy;84535
Couliboeuf;0
Courcelles-le-Comte;1465
Courcelles-sur-Nied;24671
Courcy - Brimont;31723
Cousance;14606
Coutances;185838
Crépy - Couvron;4207
Créteil Pompadour;6412258
Croix L'Allumette;1635
Culoz;260917
Dettwiller;135299
Dingé;12371
Dissay;31250
Dommartin - Lissieu;10570
Dompierre Sept Fons;19909
Donjeux;5355
Drap - Cantaron;39518
Drefféac;7301
Dreux;1331683
Druye;20760
Dugny - La Courneuve T11;1220226
Dunkerque;1905250
Duppigheim;92523
Durtol - Nohanent;984
Égletons;39086
Elne;76307
Embrun;108682
Entraigues-sur-la-Sorgue;75136
Épinal;1377994
Épinay - Villetaneuse;15327902
Ermont - Eaubonne;21728297
Esches;47065
Essonnes Robinson;232520
Estavar;228
Estrées-Saint-Denis;57584
Esvres sur Indre;24551
Eurville;443
Évry Val de Seine;755215
Exideuil;0
Eymoutiers Vassivière;48263
Faremoutiers - Pommeuse;222979
Fépin;4670
Fère-en-Tardenois;0
Fleurville - Pont-de-Vaux;19130
Foëcy;33780
Foix;283007
Fontainebleau - Avon;3194698
Fontan - Saorge;4980
Foucart - Alvimare;6551
Fouquereuil;1438
Fourmies;169985
Francheville;88685
Frépillon;363719
Fromental;1522
Fronville;333
Futuroscope;169451
Gadagne;17090
Gaillac;340713
Gap;262187
Garancières - La Queue;273442
Gargenville;551656
Gazeran;237147
Gazinet Cestas;391615
Geispolsheim;55912
Gennevilliers;1672742
Gertwiller;31548
Gestel;12822
Gien;145942
Gignac - Cressensac;276
Gilly-sur-Loire;5989
Gironde-sur-Dropt;4333
Givors Canal;89834
Goussainville;4313975
Goxwiller;26170
Grande-Synthe;11328
Grandvilliers;82200
Gresswiller;166115
Groslay;1461451
Gunsbach - Griesbach;20096
Hagondange;1187951
Harfleur;3806
Haubourdin;64790
Haussmann Saint-Lazare;32617013
Haute Picardie TGV;320142
Hendaye;423897
Herblay;3356330
Herchies;6915
Héricourt;183846
Herny;8312
Herrlisheim;178606
Hirson;148043
Hoenheim Tram;60439
Hoffen;13869
Hyères;650137
Hymont - Mattaincourt;0
Ingersheim Cité Scolaire;7020
Ingwiller;248572
Issoire;501158
Issy Val de Seine;4807552
Iteuil;14456
Jeumont;72986
Joigny;387768
Jonchery-sur-Vesle;122546
Jonzac;127059
Juan les Pins;837466
Juvisy-sur-Orge;33271111
Kerhostin;2919
Keskastel;52193
Kogenheim;29617
Krimmeri Meinau;169272
La Bachellerie;1
La Baule Les Pins;35086
La Chaize-le-Vicomte;1616
La Chapelle-Saint-Mesmin;11192
La Chapelle-sur-Loire;4016
La Charité-sur-Loire;193780
La Défense;35649320
La Ferté-Bernard;270677
La Forest-Landerneau;72201
La Fresnais;18801
La Garenne-Colombes;4891934
La Gorp;148282
La Guerche-sur-l'Aubois;44444
La Hisse;1143
La Hutte Coulombiers;20419
La Levade;710
La Membrolle-sur-Choisille;784
La Ménitré;145963
La Meyze;2493
La Pauline Hyères;161149
La Réole;268412
La Rochelle;2692269
La Suze;113281
Lachaud Curmilhac;1126
Lacourtensourt;64625
Lafarge;1087
Laifour;12363
L'Aigle;191084
Laigneville;163350
Landivisiau;205452
Langeac;26287
Langogne;35739
L'Arbresle;722759
L'Ariane La Trinité;31761
Laval;1476306
Le Bosquet;111383
Le Cendre - Orcet;147109
Le Chénay Gagny;2779109
Le Coteau;95659
Le Dorat;19239
Le Genest-Saint-Isle;22134
Le Grand Jardin;8324
Le Havre Graville;1559
Le Péage-de-Roussillon;925830
Le Plessis Chenet;33260
Le Stade;2801735
Le Theil-de-Bretagne;25403
Le Toec;5100
Le Tréport - Mers-les-Bains;55023
Le Verdon-sur-Mer;14292
Les Ardoines;2139277
Les Boullereaux Champigny;2344609
Les Coquetiers;1181755
Les Églisottes-et-Chalaures;22336
Les Essarts-le-Roi;652253
Les Islettes;0
Les Laumes Alésia;187359
Les Mais;87
Les Ormes;5174
Les Pélerins;4558
Les Ramassiers;12704
Les Sables Blancs;617
Les Yvris Noisy-le-Grand;755412
Lesparre-Médoc;127687
Lesseux - Frapelle;0
L'Étang-la-Ville;543856
Lezennes;644
Lézignan-Corbières;138459
Liart;331
Ligugé;16716
Limeray;12253
Limoges Montjovis;25342
Limoux;28250
Lisieux;1204622
L'Isle-Adam - Parmain;938074
L'Isle-sur-la-Sorgue - Fontaine-de-Vaucluse;171167
L'Isle-sur-le-Doubs;123373
L'Isthme;1241
Livry-sur-Seine;92740
Loison-sous-Lens;9319
Longjumeau;396645
Longueil-Sainte-Marie;38261
Longueville-sur-Scie;30580
Loos lez Lille;42385
Lothiers;52
Lourches;9165
Louverné;909
Luçon;84144
Lure;237350
Lussac-les-Châteaux;28000
Luttenbach-près-Munster;10862
Lyon Jean Macé;1473871
Macau;58233
Mailly-la-Ville;7557
Malansac;68061
Malaunay - Le Houlme;74523
Mamirolle;19006
Manduel - Redessan;956
Marchezais - Broué;153676
Margival;1
Marquixanes;1783
Marsac;5114
Massiac - Blesle;35514
Mehun-sur-Yèvre;82908
Melun;13065160
Ménil Flin;1946
Mesves - Bulcy;3774
Meyrargues;45708
Mézidon-Canon;318511
Milly-sur-Thérain;9119
Moirans La Galifette;184249
Monéteau - Gurgy;13633
Monistrol-d'Allier;2661
Monnerville;21031
Montaigut-le-Blanc;1053
Montbarrey;724
Montdidier;182907
Monte-Carlo Country Club;7624
Montendre;52560
Montereau;2542109
Montescourt-Lizerolles;16621
Monthermé;119476
Montigny-en-Ostrevent;134172
Montmélian;591032
Montpaon;412
Montreuil-sur-Ille;310878
Morannes;34205
Morbier;9491
Moret - Veneux-les-Sablons;1186265
Moreuil;188341
Morières-lès-Avignon;32264
Moulin Galant;523046
Munster Badischhof;11620
Muret;853048
Mussidan;175616
Nangis;883754
Nanteuil - Saâcy;536532
Naucelle;38965
Neau;2919
Nesle;91953
Neuillé-Pont-Pierre;18288
Neuilly-lès-Dijon;2629
Neuvic;47633
Nevers;1022933
Niederbronn-les-Bains;211326
Nieppe;66872
Nîmes;4316299
Nogent-sur-Seine;200463
Nogent-sur-Vernisson;67132
Nointel - Mours;377139
Nomain;1614
Nonancourt;11034
Obernai;796161
Oermingen;36302
Ondres;15546
Orange;389111
Orgon;22401
Orly Ville;1488640
Orry-la-Ville - Coye;1932800
Oudon;108968
Ourscamps;3376
Pagny-sur-Moselle;356716
Parc des Expositions;2304239
Paris Bercy Bourgogne - Pays d'Auvergne;4764857
Paris Est;36774394
Paris Gare de Lyon;102024783
Pavilly;171330
Penne-d'Agenais;15396
Penthièvre;2979
Périgueux;968530
Périgueux Saint-Georges;2123
Pérols-sur-Vézère;598
Pers;655
Persan - Beaumont;3807121
Peyrehorade;28211
Pezou;2386
Pignans;39579
Plouharnel - Carnac;8496
Poix-Terron;100007
Pont d'Ardres;5129
Pont de Bois;41946
Pontchâteau;192590
Pont-Remy;15979
Pontrieux;6641
Pont-Sainte-Maxence;849576
Porta;22
Portet Saint-Simon;317915
Pouilly-sur-Loire;12471
Pouxeux;21986
Provenchères-sur-Fave;3317
Pulligny - Autrey;0
Puybrun;1688
Raismes;28550
Rang-du-Fliers - Verton - Berck;315635
Ranguin;81312
Raves - Ban-de-Laveline;648
Réding;65176
Redon;951584
Régny;47448
Reims Maison Blanche;112140
Rémelfing;3219
Remise à Jorelle;623710
Rethel;357569
Revigny-sur-Ornain;100092
Rocamadour - Padirac;9208
Rochefort;594889
Rochy-Condé;6234
Rolleville;329
Romans - Bourg-de-Péage;425426
Romilly-la-Puthenaye;8685
Rosa Parks;11987483
Roumazières-Loubert;3
Royat - Chamalières;3741
Rozières-sur-Mouzon;15
Ruffey-lès-Echirey;18585
Rumilly;658247
Saales;54627
Saillagouse;3754
Saillans;14221
Saint-Amour;72746
Saint-Antoine;44049
Saint-Aubin-sur-Scie;12469
Saint-Aunès;7074
Saint-Avold;246090
Saint-Chamas;83403
Saint-Chély-d'Apcher;70962
Saint-Clément - Laronxe;27549
Sainte-Anne;26342
Sainte-Bazeille;2010
Sainte-Geneviève-des-Bois;3315717
Sainte-Lizaigne;2303
Saint-Étienne La Terrasse;111779
Saint-Florent-sur-Cher;10766
Saint-Gaudens;282401
Saint-Genouph;282
Saint-Germain-du-Puy;7210
Saint-Gratien;2195928
Saint-Jean-d'Angély;39126
Saint-Jean-Pied-de-Port;56521
Saint-Julien - Clénay;43444
Saint-Julien-en-Genevois;219126
Saint-Junien;39054
Saint-Laurent-du-Var;827056
Saint-Louis;1306485
Saint-Louis La Chaussée;57948
Saint-Maixent-L'École;191652
Saint-Mariens - Saint-Yzan;197906
Saint-Mars-la-Brière;4360
Saint-Martin-Bellevue;0
Saint-Martin-de-Crau;103233
Saint-Martin-du-Mont;6550
Saint-Martin-du-Vivier;137
Saint-Martin-le-Beau;67493
Saint-Michel - Valloire;99098
Saint-Ouen-l'Aumône Liesse;1906849
Saint-Paterne-Racan;23542
Saint-Péray;2941
Saint-Pierre-d'Albigny;141639
Saint-Pierre-de-Chignac;3035
Saint-Pierre-du-Vauvray;0
Saint-Pierre-en-Faucigny;111254
Saint-Pierre-Quiberon;9725
Saint-Pol-de-Léon;1595
Saint-Priest-Taurion;21972
Saint-Rambert-en-Bugey;13870
Saint-Savinien;19148
Saint-Symphorien-de-Marmagne;44
Saint-Thégonnec;250
Sallanches - Combloux - Megève;358306
Salses-le-Château;39917
Sarre-Union;154277
Sartrouville;10048491
Saubusse;10588
Saujon;58017
Sauto;199
Sedan;358878
Sées;76533
Selles-Saint-Denis;27642
Senozan;10385
Sessenheim;89110
Seurre;67314
Sévérac-d'Aveyron;11788
Seyssel - Corbonod;77257
Soissons;603362
Solignac - Le Vigen;4249
Sommery;5838
Sorgues - Châteauneuf-du-Pape;190892
Sospel;45712
Sous le Bois;8
Steenbecque;596
Steenwerck;50022
St-Eulien;15
Strasbourg;21446966
Tacoignières - Richebourg;162807
Tarare;554100
Tende;22780
Theillay;21728
Thenon;20318
Thézy-Glimont;14634
Thiennes;712
Thomery;167462
Thouaré-sur-Loire;46006
Thouars;28968
Thuès Carença;3743
Tiercé;95701
Tincques;7677
Tonnay-Charente;28272
Torfou-Sèvremoine;43234
Tourcoing;609158
Tournemire - Roquefort;1100
Tracy - Sancerre;15200
Trégonneau - Squiffiec;1667
Trois-Puits;0
Troyes;1123886
Uchaud;3180
Ur - Les Escaldes;122
Val-de-Reuil;552133
Valençay;39051
Valence;2373588
Valence d'Agen;87101
Varennes-sur-Fouzon;5070
Varetz;1862
Vauboyen;194880
Vauzelles;366
Velars-sur-Ouche;4373
Vendenheim;120635
Vendôme - Villiers-sur-Loir TGV;465035
Venerque - Vernet;194542
Vergèze - Codognan;401842
Vern-sur-Seiche;10521
Versailles Chantiers;18934500
Vertaizon;159478
Vervins;68497
Veuves - Monteaux;4877
Veynes Dévoluy;73563
Vic-sur-Cère;8812
Vielmur-sur-Agout;24947
Vigeois;7772
Vigneux-sur-Seine;5334560
Vignory;2471
Villefranche-sur-Cher;24293
Villefranque;1164
Villeneuve-lès-Maguelone;48978
Villeneuve-sur-Allier;548
Villennes-sur-Seine;975080
Villers-Bretonneux;194818
Villers-Saint-Paul;80039
Villiers-en-Lieu;509
Villiers-le-Bel - Gonesse - Arnouville;9912578
Vincey;55978
Viry-Noureuil;354
Vittel;75092
Vivonne;38183
Voivres-lès-le-Mans;13557
Voreppe;370438
Voves;48557
Wacquemoulin;1482
Walheim;5556
Wattignies - Templemars;53660
Wesserling;46314
Weyersheim;176599
Wingen-sur-Moder;142127
Wisches;98781
Wittelsheim;0
Woincourt;674
Xeuilley;0
Ytrac;139
Yvetot;1039150
Abancourt;71517
Aguilcourt - Variscourt;13197
Aiguillon;133450
Ailly-sur-Noye;128969
Aiserey;33880
Aix-en-Provence TGV;3739796
Aixe-sur-Vienne;15445
Albert;524871
Alençon;411567
Alès;512188
Alet-les-Bains;266
Allée de la Tour Rendez-Vous;857918
Alleyras;1931
Amagne - Lucquy;69618
Amboise;784419
Amiens;6004673
Anché - Voulon;15283
Ancy-sur-Moselle;56877
Andrézieux-Bouthéon;28251
Angoulême;2198301
Arbois;81446
Arches;85693
Arleux;29115
Armentières;850773
Arnèke;122187
Arpajon;1425412
Artenay;94229
Artix;65223
Arvant;84627
Assier;12813
Athis-Mons;1391516
Aubergenville Élisabethville;1580464
Aubiet;12763
Audruicq;281007
Audun-le-Roman;5238
Aumale;3752
Avenay;31476
Avenue Foch;1015827
Avesnes-sur-Helpe;142784
Avignon TGV;4160030
Avion;54976
Avrechy;5413
Azay-sur-Cher;22517
Baccarat;133263
Bagnols - Chadenet;979
Bainville-sur-Madon;84
Balagny Saint-Épin;10349
Ballan-Miré;39095
Bar-le-Duc;422768
Barsac;17614
Bazancourt;298712
Bazoches;2725
Beau Marais;5302
Beaulieu-sur-Mer;525707
Belfort - Montbéliard TGV;605331
Belleville-sur-Vie;113138
Bénesse-Maremne;21700
Bengy-sur-Craon;25974
Béning;145080
Berthelming;17339
Betton;98453
Bibliothèque François Mitterrand;22986683
Bidarray Pont Noblia;2804
Biffontaine;174
Biganos Facture;1100339
Bischwiller;690484
Bléré - La Croix;207320
Blesme - Haussignémont;63
Boigneville;29124
Bois-d'Oingt - Légny;32577
Bois-le-Roi;966054
Bolbec - Nointot;2
Bollwiller;303384
Bologne;3117
Bons-en-Chablais;188299
Bornel - Belle-Église;288300
Bouffémont - Moisselles;1043644
Boussay - La Bruffière;37644
Boutigny-sur-Essonne;144265
Bouzonville;18396
Bram;104957
Brax - Léguevin;183031
Bressuire;21956
Breuil - Romain;33261
Breuillet Village;564922
Briançon;173341
Brimeux;2929
Brionne;25360
Brunémont;3077
Bruyères-sur-Oise;111426
Bugeat;7024
Buire-sur-l'Ancre;2648
Bussière-Galant;18613
Cagnes-sur-Mer;1152166
Cahors;446653
Calais;1173143
Campagnac - Saint-Geniez;998
Cantin;20021
Cap-d'Ail;131052
Capvern;7061
Castelnau-d'Estrétefonds;346056
Caudrot;9654
Caudry;129414
Cavaillon;216537
Cenon;820456
Cercy-la-Tour;31960
Cernay (Val-d'Oise);2643784
Cesson;1723793
Chambourg-sur-Indre;2486
Chamonix Aiguille du Midi;7921
Champagne-sur-Seine;428217
Champtocé-sur-Loire;59918
Chantenay;48932
Charleville-Mézières;1252226
Chartres;3394491
Chasseneuil-du-Poitou;18022
Chasseneuil-sur-Bonnieure;122
Châteaubriant;46307
Châteauneuf-sur-Cher;16400
Châtel - Nomexy;162461
Châtelaudren - Plouagat;18476
Châtellerault;575537
Chauny;557885
Chaux-des-Crotenay;3102
Chaville Rive Droite;2352461
Chaville Rive Gauche;769094
Chessy;22478
Chevillon;2628
Chevilly;74171
Cinq-Mars-la-Pile;183608
Ciry-le-Noble;7875
Clères;142937
Clermont de l'Oise;986046
Clermont La Rotonde;8505
Clermont-Ferrand;4095262
Clisson;1010242
Coat Guégan;894
Collioure;119244
Colmar Saint-Joseph;59776
Colombes;5836138
Colomiers;245429
Comines;1056
Conflans Fin d'Oise;6673880
Conflans-Sainte-Honorine;4070670
Cormeilles-en-Parisis;3618254
Coron de Méricourt;17698
Coulommiers;1167523
Coutras;425844
Couze;1
Couzon-au-Mont-d'Or;69501
Crêches-sur-Saône;36515
Croix - Wasquehal;4628
Cros de Cagnes;240535
Crouy-sur-Ourcq;176703
Cubzac-les-Ponts;21808
Dachstein;117623
Dammartin - Juilly - Saint-Mard;955503
Dardilly Le Jubin;29672
Dardilly Les Mouilles;26156
Delle;31341
Denain;18097
Dijon;7081622
Dirinon;13323
